Hitter,Archetype,Pitcher,Month,Day,Year,Balls,Strikes,Inning,Pitch Type,Pitch Speed,Pitch Location,Result,BIP Location,Clicks - Hands Move,Bat Speed (MPH),Swing Length (ft),FPS,,
"Steer, S.",Run Producer,"Taillon, J.",September,21,,1,1,B1,Fastball,86,Low Middle - Strike,,Outfield Right,8.5,76.2,7.7,,,
"Steer, S.",Run Producer,"Taillon, J.",September,21,,0,2,B4,Fastball,85,Low Away - Strike,,Infield Left,9,71.9,7.7,,,
"Paredes, I.",Run Producer,"Dana, C.",September,27,,0,1,T1,Slider,84,Low In - Strike,,Infield Left,11,63.4,8.4,,,
"Paredes, I.",Run Producer,"Fermin, J.",September,26,,3,2,T7,Slider,90,Low Away - Strike,,Outfield Left,10.5,69,8.3,,,
"Paredes, I.",Run Producer,"Hendricks, K.",September,26,,2,2,T3,Changeup,81,Low Middle - Strike,,Infield Left,10,67.4,8.5,,,
"Paredes, I.",Run Producer,"Hendricks, K.",September,26,,2,2,T5,Changeup,80,Low Away - Strike,,Outfield Center,9.5,74.2,7.9,,,
"Paredes, I.",Run Producer,"Ginn, J.T.",September,25,,2,1,T2,Fastball,92,Low Middle - Strike,,Outfield Left,9,71.8,8,,,
"Paredes, I.",Run Producer,"Ginn, J.T.",September,25,,3,2,T4,Fastball,92,High Middle - Strike,,Outfield Left Foul Line,9,67.7,7.6,,,
"Paredes, I.",Run Producer,"Basso, B.",September,25,,0,2,T5,Changeup,85,Low Away - Ball,,Infield Left,9.5,64,8,,,
"Paredes, I.",Run Producer,"Alvarado, E.",September,24,,3,2,T9,Fastball,99,High Away - Strike,,Outfield Left Center,9,70.4,8,,,
"Paredes, I.",Run Producer,"Severino, L.",September,24,,1,1,T1,Fastball,95,Middle Away - Strike,,Infield Left,9.5,69,7.7,,,
"Paredes, I.",Run Producer,"Severino, L.",September,24,,3,2,T4,Fastball,93,High Middle - Strike,,Outfield Left,9.5,64.1,7.2,,,
"Paredes, I.",Run Producer,"Sterner, J.",September,23,,1,2,T8,Fastball,95,High Middle - Strike,,Outfield Center,9.5,64.1,7,,,
"Paredes, I.",Run Producer,"Springs, J.",September,23,,2,1,T1,Fastball,93,Low Away - Ball,,Outfield Center,10,68.6,8.2,,,
"Ramos, H.",Run Producer,"Brown, M.",September,28,,1,2,B3,Slider,86,Middle Away - Strike,,Outfield Right,8,73.6,7.2,,,
"Ramos, H.",Run Producer,"Brown, M.",September,28,,0,1,B1,Slider,86,High Away - Strike,,Outfield Center,7.5,74.1,6.8,,,
"Ramos, H.",Run Producer,"Agnos, Z.",September,28,,0,1,B5,Slider,83,Low Away - Strike,,Infield Left,8.5,73.1,7.5,,,
"Ramos, H.",Run Producer,"Freeland, K.",September,27,,0,1,B1,Fastball,90,High Middle - Strike,,Outfield Center,7.5,74.9,6.7,,,
"Ramos, H.",Run Producer,"Freeland, K.",September,27,,0,0,B3,Curveball,81,Middle In - Strike,,Infield Left,7.5,76.8,6.8,,,
"Ramos, H.",Run Producer,"Marquez, G.",September,26,,0,1,B4,Fastball,93,Low In - Strike,,Infield Left,8,73.2,6.2,,,
"Ramos, H.",Run Producer,"Marquez, G.",September,26,,1,0,B1,Fastball,92,High In - Ball,,Outfield Left,8,71,6.6,,,
"Ramos, H.",Run Producer,"Hill, J.",September,26,,0,2,B6,Slider,88,High Away - Ball,,Outfield Right,7.5,73.6,6.8,,,
"Ramos, H.",Run Producer,"Marquez, G.",September,26,,0,2,B2,Curveball,87,Middle Middle - Strike,,Home Run Left Center,7.5,74.8,6.7,,,
"Ramos, H.",Run Producer,"Herget, J.",September,26,,1,2,B8,Curveball,76,High Middle - Strike,,Outfield Left,7.5,78.1,6.8,,,
"Ramos, H.",Run Producer,"O'Brien, R.",September,24,,0,1,B8,Fastball,99,High Away - Strike,,Infield Center,7.5,67.9,5.7,,,
"Ramos, H.",Run Producer,"Gray, S.",September,24,,0,0,B4,Fastball,93,Middle Middle - Strike,,Infield Center,8,71.4,6.6,,,
