sample_size,mean_accuracy,mean_metric_accuracy,mean_ks_similarity,std_accuracy,min_accuracy,p90_accuracy,p95_accuracy
5,0.8001214302528314,0.8224428605056631,0.7777999999999999,0.09447789035395147,0.4174647002772003,0.9032799435496048,0.959330736644056
6,0.8128813609475417,0.8349627218950834,0.7908000000000001,0.08486842398141983,0.4174647002772003,0.9055755267473189,0.9178061328675476
7,0.8363436341327237,0.8515825063606858,0.821104761904762,0.07643941129251294,0.4899008685753111,0.9188673356390061,0.9282224117130177
8,0.8519366723716034,0.8697233447432068,0.8341500000000001,0.06619173579706288,0.6009815330822237,0.9555861604125417,0.9562525905637766
9,0.8626655040044593,0.8810643413422522,0.8442666666666668,0.0685688390873038,0.6177470240913195,0.9490561328675475,0.9503330576181419
10,0.8736754851899109,0.887484303713155,0.8598666666666668,0.06315614434893135,0.6116144133478565,0.9534988051094309,0.959330736644056
11,0.8859039395699652,0.8998715155035666,0.8719363636363636,0.05594486262387633,0.691727198216694,0.9487446075173913,0.9781025665417891
12,0.8910879693731517,0.9066259387463035,0.8755499999999999,0.05694821658207456,0.6429069955019635,0.9544066347449918,0.9678971458773815
13,0.9001290466233742,0.9150632214518767,0.885194871794872,0.0587736417960375,0.7088597150896595,0.9695371630202505,0.9852489751348867
14,0.9062011896589871,0.9210309507465456,0.8913714285714286,0.05144984667848376,0.7065766567543577,0.9573684807756161,0.9861006755935497
15,0.9120693554070733,0.9260053774808135,0.8981333333333335,0.04796645584667067,0.7449357765607102,0.9647335252090252,0.9804974714881824
16,0.9196259804521563,0.9348436275709792,0.9044083333333333,0.0482449024305144,0.7449409631119476,0.9694237222490174,0.9765490889279782
17,0.9300414055441442,0.946108301284367,0.9139745098039217,0.04784612110446981,0.7433513395256173,0.974777835355125,0.9885991925464708
18,0.9335975792137864,0.9490951584275731,0.9181000000000001,0.041126879717207986,0.7801553662856364,0.9711447963522193,0.9782926182429722
19,0.9384284041245935,0.9539234749158537,0.9229333333333333,0.04018058218821674,0.7780894545035097,0.9738910560646568,0.986955609921472
20,0.9468286598011829,0.9616406529356991,0.9320166666666666,0.03710217099256571,0.8065268622696355,0.9829962260611467,0.9879110631704451
21,0.9503463495393669,0.9672212705073053,0.9334714285714287,0.03665946773421886,0.8014337062357315,0.9789094984120961,0.979799294145693
22,0.9542115799334333,0.9689201295638363,0.9395030303030303,0.032142951328411766,0.8315283317342299,0.9833905256241942,0.9841120693170147
23,0.9594322615137537,0.9732456824477972,0.9456188405797101,0.02849813841292877,0.8405005630206328,0.9853654958826485,0.9860027103605248
24,0.963926855790523,0.9790370449143793,0.9488166666666666,0.026174343911961894,0.8484987523063541,0.9825957473597935,0.9876516330754068
25,0.9707982034706265,0.9863897402745865,0.9552066666666668,0.019541189757933078,0.8671189229940464,0.9825549489802752,0.9919320279481549
26,0.9747576218718836,0.9878742181027418,0.9616410256410256,0.014966821135557843,0.8735997082023561,0.988139764439068,0.988139764439068
27,0.9788723165066294,0.9914001885688148,0.9663444444444445,0.012764520967458283,0.9111605928506336,0.9944954653260649,0.9944954653260649
28,0.9832384169868584,0.9945935006403832,0.9718833333333332,0.007267826104595578,0.9482551410193045,0.9935199441438316,0.9935199441438316
29,0.9883750197384938,0.9966902693620452,0.9800597701149425,0.0038439068912478097,0.9757058364848317,0.9915350023409057,0.9915350023409057
